customer_id,customer_name,customer_segment
1,Muhammed MacIntyre,Small Business
2,Barry French,Consumer
3,Clay Rozendal,Corporate
4,Carlos Soltero,Consumer
5,Carl Jackson,Corporate
6,Monica Federle,Corporate
7,Dorothy Badders,Home Office
8,Neola Schneider,Home Office
9,Carlos Daly,Home Office
10,Claudia Miner,Small Business
11,Allen Rosenblatt,Small Business
12,Sylvia Foulston,Home Office
13,Jim Radford,Corporate
14,Carl Ludwig,Corporate
15,Don Miller,Home Office
16,Annie Cyprus,Home Office
17,Grant Carroll,Small Business
18,Alan Barnes,Corporate
19,Jack Garza,Corporate
20,Julia West,Corporate
21,Eugene Barchas,Corporate
22,Edward Hooks,Consumer
23,Brad Eason,Small Business
24,Nicole Hansen,Small Business
25,Dorothy Wardle,Corporate
26,Aaron Bergman,Corporate
27,Don Jones,Corporate
28,Beth Thompson,Corporate
29,Frank Price,Corporate
30,Michelle Lonsdale,Home Office
31,Ann Chong,Corporate
32,Joy Bell,Home Office
33,Skye Norling,Home Office
34,Barry Weirich,Corporate
35,Grant Carroll,Corporate
36,Adrian Hane,Corporate
37,Andrew Gjertsen,Consumer
38,Ralph Knight,Consumer
39,Beth Paige,Consumer
40,Sylvia Foulston,Corporate
41,Bryan Davis,Corporate
42,Delfina Latchford,Small Business
43,Doug Bickford,Corporate
44,Jamie Kunitz,Corporate
45,Anthony Johnson,Small Business
46,Carl Jackson,Home Office
47,Brendan Dodson,Corporate
48,Hunter Glantz,Corporate
49,Eugene Barchas,Home Office
50,Carlos Soltero,Small Business
51,Doug Bickford,Small Business
52,Thomas Seio,Home Office
53,Nicole Hansen,Corporate
54,Becky Castell,Consumer
55,Cari Schnelling,Home Office
56,Chad Cunningham,Small Business
57,Bryan Mills,Small Business
58,Rick Reed,Consumer
59,Heather Kirkland,Home Office
60,Fred Wasserman,Home Office
61,Jack Lebron,Corporate
62,Julia West,Home Office
63,Julia West,Small Business
64,Mike Pelletier,Corporate
65,Charles McCrossin,Corporate
66,Michelle Lonsdale,Corporate
67,Charlotte Melton,Home Office
68,Henry Goldwyn,Small Business
69,Roy Skaria,Corporate
70,Jeremy Lonsdale,Corporate
71,Carlos Daly,Corporate
72,Cindy Schnelling,Corporate
73,Susan Vittorini,Corporate
74,Toby Braunhardt,Corporate
75,Julia West,Consumer
76,Susan Vittorini,Home Office
77,Mike Pelletier,Small Business
78,Cari Schnelling,Small Business
79,Ralph Arnett,Consumer
80,Bryan Mills,Corporate
81,Harold Engle,Consumer
82,Roy French,Consumer
83,Helen Abelman,Home Office
84,Guy Armstrong,Corporate
85,Jennifer Braxton,Small Business
86,Giulietta Baptist,Home Office
87,Erica Bern,Corporate
88,Christopher Schild,Corporate
89,Joy Smith,Corporate
90,Evan Minnotte,Corporate
91,Jenna Caffey,Consumer
92,Harold Engle,Home Office
93,Hilary Holden,Corporate
94,Greg Guthrie,Corporate
95,Joy Smith,Consumer
96,Dan Reichenbach,Corporate
97,Paul Gonzalez,Corporate
98,Filia McAdams,Small Business
99,Greg Guthrie,Small Business
100,Chuck Magee,Corporate
101,Frank Atkinson,Corporate
102,Philip Brown,Home Office
103,Erica Bern,Small Business
104,Jim Sink,Corporate
105,Philip Brown,Corporate
106,Logan Haushalter,Corporate
107,Noah Childs,Home Office
108,Brian Moss,Corporate
109,Julie Creighton,Corporate
110,Sanjit Chand,Home Office
111,Matt Collins,Consumer
112,Justin Knight,Corporate
113,Rob Haberlin,Corporate
114,Rob Haberlin,Consumer
115,Christina Vanderzanden,Small Business
116,Lena Cacioppo,Home Office
117,Kimberly Carter,Home Office
118,Gene Hale,Consumer
119,Sally Knutson,Consumer
120,Marina Lichtenstein,Corporate
121,Michelle Arnett,Home Office
122,Seth Vernon,Home Office
123,Luke Weiss,Corporate
124,Kimberly Carter,Small Business
125,Sally Knutson,Corporate
126,Christina DeMoss,Home Office
127,Sonia Sunley,Small Business
128,Anthony O'Donnell,Consumer
129,Emily Grady,Home Office
130,Alex Avila,Home Office
131,Anna Andreadi,Small Business
132,Barbara Fisher,Small Business
133,Kelly Williams,Corporate
134,Sonia Sunley,Corporate
135,Jocasta Rupert,Consumer
136,Rick Duston,Corporate
137,Angele Hood,Consumer
138,Dennis Bolton,Consumer
139,Stewart Carmichael,Corporate
140,Alex Avila,Corporate
141,Sarah Foster,Corporate
142,Jim Karlsson,Small Business
143,Lisa DeCherney,Corporate
144,Dennis Bolton,Small Business
145,Peter Buhler,Consumer
146,Anthony O'Donnell,Corporate
147,Daniel Lacy,Small Business
148,Giulietta Weimer,Corporate
149,Mike Vittorini,Small Business
150,Lela Donovan,Corporate
151,Shahid Shariari,Corporate
152,Trudy Schmidt,Small Business
153,Christopher Martinez,Small Business
154,Marc Harrigan,Home Office
155,Liz Price,Consumer
156,Ralph Kennedy,Corporate
157,Rob Dowd,Corporate
158,Khloe Miller,Home Office
159,Shahid Hopkins,Small Business
160,Kristina Nunn,Consumer
161,Ricardo Emerson,Corporate
162,Patrick O'Brill,Home Office
163,Thomas Brumley,Consumer
164,Vicky Freymann,Home Office
165,Khloe Miller,Corporate
166,Tony Chapman,Consumer
167,Liz Price,Corporate
168,Sarah Bern,Corporate
169,Mark Cousins,Home Office
170,Mark Cousins,Corporate
171,Daniel Byrd,Home Office
172,John Murray,Small Business
173,Lena Hernandez,Home Office
174,Greg Maxwell,Home Office
175,Giulietta Weimer,Home Office
176,Justin Hirsh,Consumer
177,Shahid Shariari,Consumer
178,Sally Knutson,Small Business
179,Sally Knutson,Home Office
180,Heather Jas,Corporate
181,Philisse Overcash,Small Business
182,Neil Knudson,Home Office
183,Cathy Armstrong,Consumer
184,Neil Knudson,Corporate
185,Chuck Clark,Corporate
186,Khloe Miller,Consumer
187,Bill Eplett,Corporate
188,John Grady,Corporate
189,Tanja Norvell,Consumer
190,Paul MacIntyre,Corporate
191,Matt Abelman,Consumer
192,Sarah Jordon,Consumer
193,Sally Matthias,Corporate
194,Sally Matthias,Home Office
195,Theone Pippenger,Corporate
196,Art Ferguson,Corporate
197,Jack O'Briant,Home Office
198,Nathan Cano,Consumer
199,Michael Granlund,Corporate
200,Steve Carroll,Consumer
201,Scott Williamson,Small Business
202,Sean Wendt,Corporate
203,John Castell,Consumer
204,Jack O'Briant,Small Business
205,David Philippe,Consumer
206,Chad Sievert,Corporate
207,Matt Abelman,Home Office
208,Shaun Weien,Home Office
209,Maya Herman,Corporate
210,Michael Granlund,Home Office
211,Jack O'Briant,Consumer
212,Ivan Liston,Consumer
213,Brad Norvell,Corporate
214,Ken Heidel,Corporate
215,John Castell,Small Business
216,Mike Kennedy,Small Business
217,Charles Sheldon,Corporate
218,Mike Kennedy,Corporate
219,Matt Abelman,Small Business
220,Brian Derr,Small Business
221,Roland Black,Small Business
222,Dana Kaydos,Corporate
223,Darren Koutras,Consumer
224,Neil Ducich,Home Office
225,Parhena Norris,Home Office
226,Bart Watters,Corporate
227,Mary O'Rourke,Home Office
228,Hunter Lopez,Consumer
229,Nathan Mautz,Corporate
230,Nathan Mautz,Home Office
231,Aaron Smayling,Small Business
232,Joel Jenkins,Corporate
233,Meg O'Connel,Corporate
234,Hallie Redmond,Home Office
235,Liz Thompson,Corporate
236,Robert Waldorf,Home Office
237,Helen Andreada,Corporate
238,Julia Dunbar,Consumer
239,Christine Sundaresam,Small Business
240,Bruce Stewart,Corporate
241,Guy Thornton,Corporate
242,Mary Zewe,Corporate
243,Ken Lonsdale,Consumer
244,Maria Bertelson,Home Office
245,Brian Thompson,Home Office
246,Hallie Redmond,Small Business
247,Jason Gross,Small Business
248,Katrina Bavinger,Consumer
249,Maria Bertelson,Corporate
250,Ivan Gibson,Corporate
251,Joseph Airdo,Corporate
252,Joseph Airdo,Consumer
253,Meg O'Connel,Small Business
254,Lycoris Saunders,Home Office
255,Lycoris Saunders,Corporate
256,Dorothy Dickinson,Corporate
257,Janet Molinari,Corporate
258,Julie Prescott,Home Office
259,Annie Thurman,Home Office
260,Rob Beeghly,Consumer
261,Annie Thurman,Consumer
262,Doug O'Connell,Small Business
263,Craig Carroll,Corporate
264,Liz MacKendrick,Corporate
265,Christine Kargatis,Small Business
266,Bobby Odegard,Corporate
267,Craig Carroll,Small Business
268,Russell Applegate,Home Office
269,Bill Donatelli,Small Business
270,Bill Donatelli,Corporate
271,Duane Benoit,Home Office
272,Bobby Odegard,Consumer
273,Russell Applegate,Small Business
274,Harold Pawlan,Small Business
275,Adam Bellavance,Small Business
276,Cari Sayre,Home Office
277,Sean O'Donnell,Corporate
278,Sandra Glassco,Home Office
279,Shirley Schmidt,Corporate
280,Rick Wilson,Corporate
281,Rick Wilson,Consumer
282,Pauline Chand,Corporate
283,Jennifer Halladay,Home Office
284,Ritsa Hightower,Corporate
285,Joni Blumstein,Home Office
286,Pete Armstrong,Consumer
287,Pauline Chand,Small Business
288,Anna Gayman,Corporate
289,Joni Blumstein,Consumer
290,Nat Gilpin,Consumer
291,Rose O'Brian,Home Office
292,Daniel Raglin,Corporate
293,Corinna Mitchell,Corporate
294,Eva Jacobs,Home Office
295,Jas O'Carroll,Corporate
296,Jas O'Carroll,Home Office
297,Paul Prost,Corporate
298,Michael Nguyen,Small Business
299,Lisa DeCherney,Consumer
300,Tamara Dahlen,Corporate
301,Erin Creighton,Corporate
302,Henry MacAllister,Small Business
303,Candace McMahon,Corporate
304,Tamara Chand,Consumer
305,Duane Huffman,Small Business
306,Edward Nazzal,Home Office
307,Kelly Lampkin,Corporate
308,Anthony Witt,Corporate
309,Ted Trevino,Corporate
310,Ed Ludwig,Consumer
311,Jeremy Ellison,Small Business
312,Alan Hwang,Corporate
313,Kelly Lampkin,Home Office
314,Eileen Kiefer,Consumer
315,James Lanier,Corporate
316,Edward Becker,Corporate
317,Gary Zandusky,Home Office
318,Ann Blume,Corporate
319,Erin Smith,Home Office
320,Allen Golden,Consumer
321,Frank Carlisle,Small Business
322,Gary Hansen,Consumer
323,Nancy Lomonaco,Home Office
324,Anna Haberlin,Corporate
325,Erin Ashbrook,Consumer
326,Darren Budd,Consumer
327,Bill Stewart,Corporate
328,Christine Phan,Small Business
329,Alan Hwang,Small Business
330,Darren Budd,Corporate
331,Eugene Hildebrand,Home Office
332,Edward Becker,Home Office
333,Melanie Page,Corporate
334,Jesus Ocampo,Small Business
335,Darren Powers,Corporate
336,Patrick Bzostek,Consumer
337,Darren Budd,Home Office
338,Grace Kelly,Consumer
339,Dan Lawera,Corporate
340,George Ashbrook,Small Business
341,Dave Hallsten,Home Office
342,Arthur Wiediger,Corporate
343,Duane Huffman,Consumer
344,Jim Mitchum,Consumer
345,Andy Yotov,Corporate
346,Frank Hawley,Home Office
347,Theresa Coyne,Home Office
348,David Smith,Small Business
349,Naresj Patel,Small Business
350,Ruben Ausman,Corporate
351,Larry Hughes,Home Office
352,Magdelene Morse,Home Office
353,George Ashbrook,Consumer
354,Jonathan Howell,Consumer
355,Linda Cazamias,Corporate
356,Nat Carroll,Home Office
357,Gary Mitchum,Consumer
358,Matt Hagelstein,Home Office
359,Andy Reiter,Corporate
360,Mike Caudle,Corporate
361,Cynthia Arntzen,Home Office
362,Edward Nazzal,Small Business
363,Cynthia Arntzen,Small Business
364,Brian Stugart,Consumer
365,George Bell,Corporate
366,Naresj Patel,Corporate
367,Joni Sundaresam,Home Office
368,Dave Hallsten,Corporate
369,Michelle Huthwaite,Home Office
370,Amy Cox,Corporate
