customer_name,customer_segment,total_sales,total_profit,profit_rank
Emily Phan,Consumer,117124.44,34005.44,1
Deborah Brumfield,Small Business,67845.12,23299.21,2
Grant Carroll,Small Business,56894.67,21505.91,3
Liz MacKendrick,Corporate,76306.43,20397.24,4
Karen Carlisle,Corporate,48520.79,19198.57,5
John Stevenson,Small Business,48660.87,18849.93,6
Clytie Kelty,Small Business,63189.95,18792.81,7
Raymond Book,Consumer,70426.59,18760.59,8
Logan Haushalter,Corporate,50662.95,18348.53,9
Rick Wilson,Consumer,41218.28,14940.55,10
