customer_name,total_sales,value_quartile
Emily Phan,117124.44,1
Roy Skaria,92542.15,1
Liz MacKendrick,76306.43,1
Dennis Kane,75967.59,1
John Lucas,72331.88,1
Raymond Book,70426.59,1
Deborah Brumfield,67845.12,1
Sylvia Foulston,66414.69,1
Lisa DeCherney,65787.62,1
Clytie Kelty,63189.95,1
Muhammed Yedwab,62544.02,1
Jasper Cacioppo,61350.09,1
Noel Staavos,59092.1,1
Julia Barnett,57728.15,1
Grant Carroll,56894.67,1
Alejandro Grove,54685.8,1
Ritsa Hightower,54630.1,1
Ed Braxton,52568.17,1
Jack Lebron,51155.8,1
Logan Haushalter,50662.95,1
Becky Pak,50378.16,1
Barry Gonzalez,49292.05,1
John Stevenson,48660.87,1
Karen Carlisle,48520.79,1
Michael Oakman,47040.0,1
Matt Abelman,47006.51,1
Ruben Dartt,46399.44,1
Tonja Turnell,45788.67,1
Nick Crebassa,45458.41,1
Christine Abelman,45365.75,1
Lena Creighton,44980.47,1
Alan Schoenberger,44571.93,1
Helen Wasserman,43294.68,1
Mitch Gastineau,43256.69,1
Victoria Wilson,42960.68,1
Steve Chapman,42872.99,1
Benjamin Venier,42624.3,1
Jennifer Patt,42356.0,1
Clay Cheatham,42255.17,1
Mark Cousins,41736.32,1
Craig Carreira,41343.21,1
Rick Wilson,41218.28,1
Tony Chapman,41020.63,1
Harold Engle,40975.07,1
Lycoris Saunders,40840.65,1
Nathan Mautz,40788.64,1
Erica Bern,40626.71,1
Sanjit Chand,40353.99,1
Barry Weirich,40124.99,1
Charles Crestani,40030.83,1
Roy Phan,39600.91,1
Edward Nazzal,39538.65,1
Valerie Takahito,39517.07,1
Cari Sayre,39365.85,1
Seth Vernon,38977.81,1
Ivan Liston,38880.47,1
Philip Brown,38873.21,1
Matthew Grinstein,38698.79,1
Juliana Krohn,38270.41,1
Lela Donovan,38012.03,1
Justin MacKendrick,37675.81,1
Maribeth Dona,37359.52,1
Jonathan Doherty,37345.15,1
Darren Budd,37215.88,1
Andy Reiter,37037.88,1
John Murray,37036.03,1
Harold Dahlen,36396.26,1
Chuck Clark,36028.41,1
Jim Radford,35978.14,1
Christopher Martinez,35937.77,1
Harold Ryan,35884.06,1
Erin Creighton,35725.09,1
Erica Smith,35703.91,1
Brooke Gillingham,35679.28,1
Cari MacIntyre,35595.0,1
Patrick Bzostek,35495.44,1
Julie Kriz,35294.48,1
Patrick Jones,35186.02,1
Karl Brown,35162.67,1
Sally Matthias,34947.42,1
Edward Hooks,34532.76,1
Robert Barroso,34398.05,1
Janet Martin,34383.84,1
Frank Hawley,34301.52,1
Hilary Holden,33997.32,1
Peter Fuller,33548.98,1
Jim Sink,33491.99,1
Rob Haberlin,33483.4,1
Anthony Rawles,33418.65,1
Tamara Manning,33139.65,1
Giulietta Dortch,33127.42,1
Michelle Moray,33055.2,1
Brad Thomas,32735.0,1
Jim Epp,32331.51,1
Michelle Ellison,32127.31,1
Rick Reed,32088.42,1
Parhena Norris,31955.08,1
Bill Donatelli,31709.92,1
Grant Carroll,31522.33,1
Sonia Sunley,31367.83,1
Julia West,31154.38,1
Maxwell Schwartz,30928.84,1
Frank Merwin,30789.53,1
Dean Percer,30759.16,1
Cynthia Arntzen,30758.5,1
Rick Duston,30727.31,1
Mitch Willingham,30525.55,1
Cindy Schnelling,30487.08,1
Magdelene Morse,30412.95,1
Duane Noonan,30369.79,1
Greg Tran,30119.41,1
Liz Willingham,29902.6,1
Meg Tillman,29898.23,1
Maureen Gastineau,29885.51,1
James Lanier,29846.97,1
Scott Cohen,29811.35,1
Max Jones,29810.99,1
Filia McAdams,29768.43,1
Ben Wallace,29600.03,1
Deborah Brumfield,29588.02,1
Chad Sievert,29585.21,1
Craig Leslie,29497.48,1
Brendan Murry,29294.96,1
Eleni McCrary,29265.7,1
Dave Poirier,29249.09,1
Christy Brittain,29061.87,1
Alejandro Grove,28876.13,1
Mark Cousins,28843.41,1
Emily Grady,28774.01,1
Dorothy Wardle,28598.56,1
Carlos Soltero,28437.77,1
Sean Miller,28271.06,1
Jay Fine,28113.78,1
Bill Eplett,28075.79,1
Bradley Drucker,27911.61,1
Stephanie Ulpright,27898.87,1
Jamie Kunitz,27842.06,1
Luke Schmidt,27762.45,1
Aaron Hawkins,27690.73,1
Carl Weiss,27483.39,1
Marc Crier,27429.75,1
Tamara Dahlen,27294.23,1
John Castell,27266.84,1
Jill Stevenson,27256.49,1
Beth Thompson,27214.95,1
Carlos Soltero,27137.32,1
Bobby Elias,26977.46,1
Darren Budd,26689.75,1
Henry Goldwyn,26629.81,1
Alan Haines,26584.68,1
Linda Southworth,26407.67,1
Pauline Webber,26405.73,1
Emily Ducich,26209.65,1
Paul Knutson,26188.54,1
Troy Blackwell,26184.59,1
Lauren Leatherbury,26132.23,1
Adam Hart,26114.26,1
Meg O'Connel,26108.96,1
Sandra Glassco,25908.94,1
Chuck Sachs,25904.6,1
Philip Brown,25843.59,1
Alex Grayson,25658.76,1
Nicole Brennan,25657.91,1
Art Miller,25643.83,1
Fred McMath,25607.34,1
Ross DeVincentis,25583.82,1
Cynthia Delaney,25559.15,1
Jack O'Briant,25545.34,1
Bill Tyler,25276.14,1
Justin Ellison,25264.15,1
Ellis Ballard,25202.16,1
Katrina Willman,25168.9,1
Michael Chen,25141.74,1
Christina Anderson,25136.31,1
Stephanie Phelps,25071.54,1
Charles McCrossin,25045.42,1
Mathew Reese,25012.97,1
Olvera Toch,24633.7,1
Karen Seio,24491.43,1
Eva Jacobs,24445.01,1
Brian Stugart,24368.92,1
Harold Pawlan,24331.45,1
Dan Campbell,24321.03,1
Tony Sayre,24319.09,1
Ken Heidel,24303.19,1
Bill Overfelt,24272.39,1
Corey Lock,24161.95,1
Susan MacKendrick,24129.84,1
Brosina Hoffman,24125.39,1
Barry Franz,24113.15,1
Jocasta Rupert,24107.4,1
Shahid Shariari,24014.95,1
Matt Connell,23881.36,1
Art Ferguson,23839.86,1
Joy Smith,23784.9,1
Matt Collister,23724.93,1
Tim Brockman,23653.52,1
Paul Van Hugh,23354.28,1
Carlos Meador,23350.83,1
Darrin Sayre,23338.48,1
Denny Joy,23310.87,1
Becky Martin,23289.9,1
Ed Braxton,23234.59,1
Cathy Prescott,23227.85,1
Deanra Eno,23201.28,1
Mary Zewe,23190.22,1
Brendan Sweed,23187.8,1
Ionia McGrath,23186.02,1
Patrick Ryan,23111.31,1
Dan Lawera,23104.17,1
Cathy Armstrong,23102.84,1
Muhammed Lee,23095.25,1
Adrian Barton,23088.53,1
Cindy Chapman,23062.09,1
Vivek Grady,23001.31,1
Benjamin Farhat,23000.75,1
Damala Kotsonis,22970.25,1
